#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
5.9%	2950000	-931120.099161414	300.61451951964295	474
5.9%	2960000	-930888.9411158809	301.21691119643936	474
5.9%	2970000	-929970.6388666616	302.0095979849596	474
6.0%	2980000	-929517.4451495814	300.30002389964807	474
6.0%	2990000	-930391.1903160387	300.6633539135767	474
6.0%	3000000	-930502.2881286852	300.39003826102237	474
6.0%	3010000	-929915.782150392	299.65876614228057	474
6.0%	3020000	-929125.8392886757	298.8973862579767	474
6.1%	3030000	-929223.2406229014	300.59825998758305	474
6.1%	3040000	-930622.0446946886	299.6346450212004	474
6.1%	3050000	-931070.8535818062	301.63174226877044	474
6.1%	3060000	-930098.0433867341	301.4472828282519	474
6.1%	3070000	-930113.4826263739	297.9217930463604	474
6.2%	3080000	-930058.2600160125	300.2200760309049	474
6.2%	3090000	-931917.4923509047	301.01088658849875	474
6.2%	3100000	-931147.8807253451	300.0155572425207	474
6.2%	3110000	-928994.9589601811	299.5788012159239	474
6.2%	3120000	-930837.7556281672	300.24556877563737	474
6.3%	3130000	-931967.6459706975	299.37232274352255	474
6.3%	3140000	-929566.1621036814	299.41521521504467	474
6.3%	3150000	-931534.3978698114	299.1764005296384	474
6.3%	3160000	-930104.1082766503	300.4691038937323	474
6.3%	3170000	-930001.2850298155	299.8002309609174	474
6.4%	3180000	-931054.0197584112	301.1034151765933	474
6.4%	3190000	-930031.1599163441	300.1343943503732	474
6.4%	3200000	-930927.363799409	300.28393336077534	474
6.4%	3210000	-932333.9020699863	299.8726861254629	474
6.4%	3220000	-929055.9706479558	298.9653864454384	474
6.5%	3230000	-929877.5643378627	300.6507561699217	474
6.5%	3240000	-930590.6274944791	300.8288904479513	474
6.5%	3250000	-931825.8984027426	301.50602977771405	474
6.5%	3260000	-931219.8679743055	302.53588826531455	474
6.5%	3270000	-930465.7708842801	300.3359856580634	474
6.6%	3280000	-930814.8085994623	299.333983883479	474
6.6%	3290000	-929237.0584518267	302.5130547419762	474
6.6%	3300000	-930517.5369539373	300.37891080668834	474
6.6%	3310000	-930257.9882854079	299.5062724705653	474
6.6%	3320000	-930899.1424860796	301.2338623712658	474
6.7%	3330000	-931926.1608816837	299.74933778351897	474
6.7%	3340000	-930574.7628432927	302.3503351408353	474
6.7%	3350000	-930112.6131810741	300.3571867947006	474
6.7%	3360000	-929816.2873886158	299.379830482236	474
6.7%	3370000	-929644.0656192522	300.45127739385714	474
6.8%	3380000	-930375.6241791043	301.2933578990302	474
6.8%	3390000	-929827.1315126158	299.5817431229482	474
6.8%	3400000	-929237.5439031683	299.2863980004635	474
6.8%	3410000	-932021.869503391	298.5788686523269	474
6.8%	3420000	-928523.968702551	301.97592527242364	474
6.9%	3430000	-930112.3548049591	299.47437836189636	474
6.9%	3440000	-929254.8365836884	299.6150033434865	474
6.9%	3450000	-930471.6846342823	299.66558051019246	474
6.9%	3460000	-930959.8263248503	300.6318438420947	474
6.9%	3470000	-930224.4821739513	300.6383352042592	474
7.0%	3480000	-930475.8187170448	301.73343854602865	474
7.0%	3490000	-930043.8598493631	300.8030633213277	474
7.0%	3500000	-929392.6400884646	299.4652039839341	474
7.0%	3510000	-931435.6320916163	299.98759114499927	474
7.0%	3520000	-930462.490013253	302.68059408167977	474
7.1%	3530000	-930590.7595694261	299.9654069622126	474
7.1%	3540000	-930269.253278025	299.5065007255081	474
7.1%	3550000	-932087.1213795654	297.4933819645496	474
7.1%	3560000	-929815.5139449942	300.555623643543	474
7.1%	3570000	-929220.6901555234	301.8157792953786	474
7.2%	3580000	-929064.1097933608	298.6441282625095	474
7.2%	3590000	-931684.1229717308	299.58807013223753	474
7.2%	3600000	-931754.7091419445	301.1219943601903	474
7.2%	3610000	-929874.1894323123	300.5484026806668	474
7.2%	3620000	-929452.817732356	299.197996198754	474
7.3%	3630000	-931194.6197369653	302.16202725125225	474
7.3%	3640000	-930599.9443310904	301.029957884528	474
7.3%	3650000	-930668.6499366867	302.25129180345306	474
7.3%	3660000	-929940.6969041936	301.118303110221	474
7.3%	3670000	-930524.3586195479	298.33572745366524	474
7.4%	3680000	-929740.6796206078	301.08659836875535	474
7.4%	3690000	-930992.1931111645	299.91703951757387	474
7.4%	3700000	-930655.693502733	303.7807008512828	474
7.4%	3710000	-930879.2846219917	300.89628656237426	474
7.4%	3720000	-931450.1377849914	302.64347256386725	474
7.5%	3730000	-930061.0718510309	301.97866215860245	474
7.5%	3740000	-929371.042885317	300.64525547199844	474
7.5%	3750000	-930684.6584158917	299.22520801940357	474
7.5%	3760000	-927753.4966009399	301.90670498338966	474
7.5%	3770000	-931491.9574474697	302.07354274893976	474
