#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
86.0%	430000	-1328293.2838179385	302.1130478977115	225
86.2%	431000	-1327508.2282939292	300.91564065393476	224
86.4%	432000	-1326569.2706917273	300.56749056493453	224
86.6%	433000	-1327658.0883047003	300.94791491690654	225
86.8%	434000	-1327808.731615046	299.53531746112077	225
87.0%	435000	-1328507.9715946317	301.00261189524707	225
87.2%	436000	-1327598.9370426685	300.4697767939524	225
87.4%	437000	-1327160.6793831969	299.51979342123764	225
87.6%	438000	-1327007.8890508618	301.7899397897128	225
87.8%	439000	-1326705.3569928966	300.4226376204643	225
88.0%	440000	-1326602.5399637083	299.95674177939924	224
88.2%	441000	-1327158.7447262025	299.67274069409734	224
88.4%	442000	-1327159.2731539793	299.2120622316859	224
88.6%	443000	-1327774.6743876422	300.09580146742394	224
88.8%	444000	-1327433.676818272	301.7476096426581	225
89.0%	445000	-1326649.2986088842	299.4234350567268	225
89.2%	446000	-1329359.8344375854	299.2328457918132	225
89.4%	447000	-1328332.9508725312	300.3842651680259	225
89.6%	448000	-1326902.497201207	297.9491411715532	225
89.8%	449000	-1327148.9113068022	299.1083535381521	225
90.0%	450000	-1326569.8730068076	300.7860346631791	225
90.2%	451000	-1326604.3673112793	299.24932612524094	224
90.4%	452000	-1327626.02113509	300.4210697300601	224
90.6%	453000	-1328321.8434155714	298.12595639488563	225
90.8%	454000	-1328114.9352563163	300.04257654280894	225
91.0%	455000	-1329018.2606557477	298.80516962514133	225
91.2%	456000	-1328317.2899624445	300.5908971946261	225
91.4%	457000	-1327288.1736908145	300.7639450083161	225
91.6%	458000	-1327672.7389603658	299.9033924773917	225
91.8%	459000	-1327033.1528496742	300.0894249280548	225
92.0%	460000	-1327430.1166673135	300.9667129286583	224
92.2%	461000	-1326507.4962043008	302.5079076313449	224
92.4%	462000	-1326773.5157130575	300.8880892869818	224
92.6%	463000	-1327505.3733807914	300.6868106406288	224
92.8%	464000	-1326744.2719736658	301.39038325449246	225
93.0%	465000	-1327703.6866355343	298.88374257114754	225
93.2%	466000	-1325278.9051983422	300.3237887594047	225
93.4%	467000	-1326616.1407356244	301.4849937031332	225
93.6%	468000	-1328975.6127741542	298.6756435106505	225
93.8%	469000	-1327425.3828705652	300.282861235087	225
94.0%	470000	-1329604.491631099	299.2336921697807	225
94.2%	471000	-1328200.0522929747	298.458222439762	224
94.4%	472000	-1326940.92737127	299.2501016128148	224
94.6%	473000	-1328459.037569343	298.6982834961407	225
94.8%	474000	-1328088.9838487413	298.66289032067135	225
95.0%	475000	-1327217.0492731621	301.32340648718406	225
95.2%	476000	-1326859.334269763	301.3964865774434	225
95.4%	477000	-1326954.4991754964	300.2288271126649	225
95.6%	478000	-1328645.4594931211	301.5521530419177	225
95.8%	479000	-1329833.2311184062	299.37352767406554	225
96.0%	480000	-1327501.6447892468	301.156577248785	224
96.2%	481000	-1326338.9742638608	301.97096927838766	224
96.4%	482000	-1325042.5009701075	302.7181682507733	224
96.6%	483000	-1326745.6771738715	299.8062744356368	224
96.8%	484000	-1329560.63818237	300.61181618138426	225
97.0%	485000	-1328151.3971468797	301.3027099971516	225
97.2%	486000	-1327986.6019936102	299.22074478498223	225
97.4%	487000	-1326501.022969949	300.2698125298422	225
